番号,原材料名,物質名,化学式,換算量,備考
1-40,牛乳（無調整）/180g,ミリスチン酸 (14:0),C14H28O2,1.08 g,-
1-41,牛乳（無調整）/180g,ステアリン酸 (18:0),C18H36O2,0.72 g,-
1-42,牛乳（無調整）/180g,リン脂質（ホスファチジルコリン等）,C42H80NO8P,0.036 g,-
1-43,牛乳（無調整）/180g,カルシウム（イオン相）,Ca²⁺,0.216 g （=216 mg）,-
1-44,牛乳（無調整）/180g,リン（概算、主にリン酸塩）,P (as PO4),0.171 g （=171 mg）,-
1-45,牛乳（無調整）/180g,カリウムイオン,K⁺,0.126 g （=126 mg）,-
1-46,牛乳（無調整）/180g,マグネシウムイオン,Mg²⁺,0.018 g （=18 mg）,-
1-47,牛乳（無調整）/180g,ナトリウムイオン,Na⁺,0.054 g （=54 mg）,-
1-48,牛乳（無調整）/180g,ビタミンB₂（リボフラビン）,C17H20N4O6,0.36 mg,-
1-49,牛乳（無調整）/180g,ビタミンB₁₂（コバラミン）,C63H88CoN14O14P,1.8 µg,-
1-50,牛乳（無調整）/180g,ビタミンA（レチノイド、概）,C20H30O,微量 約0.3 mg（目安）,-
1-51,牛乳（無調整）/180g,乳酸（微量、発酵痕）,C3H6O3,痕跡〜数十 mg,-
1-52,牛乳（無調整）/180g,乳酸菌・微生物残存（微量）,—,痕跡,-
1-53,牛乳（無調整）/180g,リパーゼ,Protein (enzyme),微量,-
1-54,発酵バター (30 g),水分,H₂O,4.65 g,-
1-55,発酵バター (30 g),トリグリセリド (総脂質),C₅₅H₉₈O₆ (代表式),22.50 g,-
1-56,発酵バター (30 g),パルミチン酸 (C16:0),C₁₆H₃₂O₂,7.80 g,-
1-57,発酵バター (30 g),ミリスチン酸 (C14:0),C₁₄H₂₈O₂,2.70 g,-
1-58,発酵バター (30 g),ステアリン酸 (C18:0),C₁₈H₃₆O₂,2.85 g,-
1-59,発酵バター (30 g),オレイン酸 (C18:1),C₁₈H₃₄O₂,6.75 g,-
1-60,発酵バター (30 g),リノール酸 (C18:2),C₁₈H₃₂O₂,0.75 g,-
1-61,発酵バター (30 g),レシチン（ホスファチジルコリン）,C₄₂H₈₀NO₈P,~0.03 g,乳化作用
1-62,発酵バター (30 g),スフィンゴミエリン,C₃₈H₇₈N₂O₆P,痕跡,細胞膜由来
1-63,発酵バター (30 g),短鎖脂肪酸（酪酸等 C4:0）,C₄H₈O₂,0.30 g,-
1-64,発酵バター (30 g),乳酸,C₃H₆O₃,~0.03 g,pH 6.2→6.0程度に低下
1-65,発酵バター (30 g),コレステロール,C₂₇H₄₆O,0.06 g,-
1-66,発酵バター (30 g),ジアセチル（芳香）,C₄H₆O₂,≈0.00015 g （≈0.15 mg）,-
1-67,発酵バター (30 g),アセトイン（芳香）,C₄H₈O₂,≈0.00015 g （≈0.15 mg）,-
1-68,発酵バター (30 g),酢酸（微量）,C₂H₄O₂,痕跡〜数 mg,-
1-69,発酵バター (30 g),ビタミンA (レチニルパルミテート),C₃₆H₆₀O₂,~0.21 mg,視覚/免疫
1-70,発酵バター (30 g),ビタミンD₃ (コレカルシフェロール),C₂₇H₄₄O,微量,骨代謝
1-71,発酵バター (30 g),ビタミンE (α-トコフェロール),C₂₉H₅₀O₂,≈0.24 mg,-
1-72,発酵バター (30 g),ビタミンK₂ (メナキノン類),C₄₁H₅₆O₂,痕跡,血液凝固
1-73,発酵バター (30 g),カルシウムイオン,Ca²⁺,0.009 g,牛乳由来。タンパク質と結合
1-74,発酵バター (30 g),ナトリウムイオン,Na+,0.006 g,牛乳由来。塩味のベース
1-75,卵黄 (30 g),水分,H₂O,14.40 g,-
1-76,卵黄 (30 g),リポビテリン等（主要タンパク）,C₄₀₀₀H₆₄₀₀N₁₁₀₀O₁₂₀₀S₅₀ (モデル),7.00 g,-
1-77,卵黄 (30 g),低密度リポタンパク質（LDL）,複合体,約4.0 g,脂質運搬・乳化作用
1-78,卵黄 (30 g),高密度リポタンパク質（HDL）,複合体,約0.5 g,補助的乳化作用
1-79,卵黄 (30 g),フォスビチン,C₂₅₀₀H₄₀₀₀N₆₅₀O₁₀₀₀P₁₀₀,3.00 g,-
1-80,卵黄 (30 g),リベチン（血清型タンパク）,Protein (livetin),3.00 g,-
1-81,卵黄 (30 g),トリグリセリド（総脂質）,C₅₅H₉₈O₆ (代表),7.50 g,-
1-82,卵黄 (30 g),リノール酸 (C18:2),C₁₈H₃₂O₂,0.90 g,-
1-83,卵黄 (30 g),オレイン酸 (C18:1),C₁₈H₃₄O₂,3.00 g,-
1-84,卵黄 (30 g),パルミチン酸 (C16:0),C₁₆H₃₂O₂,2.10 g,-
1-85,卵黄 (30 g),ステアリン酸 (C18:0),C₁₈H₃₆O₂,0.60 g,-
1-86,卵黄 (30 g),リン脂質（レシチン）,C₄₂H₈₀NO₈P,0.90 g,-
1-87,卵黄 (30 g),コレステロール,C₂₇H₄₆O,0.36 g,-
1-88,卵黄 (30 g),リン酸イオン,PO₄³⁻,0.84 g,主にフォスビチンと結合し乳化に寄与
1-89,卵黄 (30 g),カリウムイオン,K+,0.13 g,浸透圧調整と細胞機能に重要
1-90,卵黄 (30 g),ナトリウムイオン,Na+,0.045 g,-
1-91,卵黄 (30 g),カルシウムイオン,Ca²⁺,0.024 g,-
1-92,卵黄 (30 g),鉄イオン,Fe3+,0.001 g,栄養価に寄与
1-93,卵黄 (30 g),ビタミンA (レチニルパルミテート),C₃₆H₆₀O₂,≈0.075 mg,-
1-94,卵黄 (30 g),ビタミンD₃ (コレカルシフェロール),C₂₇H₄₄O,≈0.00015 g （≈0.15 mg）,-
1-95,卵黄 (30 g),ビタミンE (α-トコフェロール),C₂₉H₅₀O₂,≈0.06 g （≈60 mg）,-
1-96,卵黄 (30 g),ビタミンK₁ (フィロキノン),C₃₁H₄₆O₂,微量,-
1-97,粉糖（30 g）,スクロース,C₁₂H₂₂O₁₁,29.97 g,-
1-98,粉糖（30 g）,水分,H₂O,0.015 g,-
1-99,粉糖（30 g）,微量添加デンプン（固結防止）,(C₆H₁₀O₅)ₙ,0.015 g,-
1-100,天然塩（6 g）,塩化ナトリウム,NaCl,5.85 g,-
1-101,天然塩（6 g）,水分（結晶水/吸着水）,H₂O,0.03 g,-
1-102,天然塩（6 g）,硫酸カルシウム,CaSO₄,0.021 g,-
1-103,天然塩（6 g）,硫酸マグネシウム,MgSO₄,0.012 g,-
1-104,天然塩（6 g）,"微量元素（K⁺, Zn²⁺, Fe³⁺ 等）","K⁺, Zn²⁺, Fe³⁺",計数十 mg,-
1-105,天然塩（6 g）,カリウムイオン,K+,5 mg,わずかな塩味の調整
1-106,天然塩（6 g）,マグネシウムイオン,Mg2+,12 mg,わずかな苦味とグルテン強化
1-107,天然塩（6 g）,鉄イオン,Fe3+,微量,酵母の代謝に関与
1-108,天然塩（6 g）,亜鉛イオン,Zn2+,微量,酵素活性に寄与
1-109,ドライイースト（3 g）,水分,H₂O,0.24 g,-
1-110,ドライイースト（3 g）,タンパク質（構造）,Protein,1.20 g,-
1-111,ドライイースト（3 g）,インベルターゼ,Protein (enzyme),微量,スクロースをブドウ糖と果糖に分解する酵素
1-112,ドライイースト（3 g）,チマーゼ,Protein (enzyme),微量,ブドウ糖をエタノールと二酸化炭素に分解する酵素
1-113,ドライイースト（3 g）,貯蔵炭水化物（グリコーゲン）,(C₆H₁₀O₅)ₙ,0.90 g,-
1-114,ドライイースト（3 g）,トレハロース,C₁₂H₂₂O₁₁,0.15 g,-
1-115,ドライイースト（3 g）,脂質（リン脂質等）,多様,0.18 g,-
1-116,ドライイースト（3 g）,カリウムイオン,K+,0.09 g,酵母の代謝と浸透圧調整に不可欠
1-117,ドライイースト（3 g）,リン酸イオン,PO₄³⁻,0.03 g,酵母のエネルギー代謝に重要
1-118,ドライイースト（3 g）,マグネシウムイオン,Mg2+,0.015 g,酵素の補因子として発酵を助ける
1-119,ドライイースト（3 g）,亜鉛イオン,Zn2+,0.003 g,酵母の成長と酵素活性に寄与
1-120,ドライイースト（3 g）,酵母細胞壁多糖（マンナン/β-グルカン）,多糖類,~0.2 g,生地保水性や食感に寄与
1-121,ドライイースト（3 g）,"核酸 (RNA, DNA)",—,0.21 g,-
1-122,強力粉・ドライイースト共通,α-アミラーゼ,Protein (enzyme),微量（作用量に依存）,-
1-123,強力粉・ドライイースト共通,β-アミラーゼ,Protein (enzyme),微量,-
1-124,強力粉・ドライイースト共通,プロテアーゼ,Protein (enzyme),微量,-
1-125,強力粉・ドライイースト共通,リパーゼ,Protein (enzyme),微量,-
